Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2019-08-20,173.05868530273438,174.40074879063877,172.33455000927722,173.24212053505116,3793600
2019-08-21,174.70008850097656,175.4242239304439,174.02423171332163,174.45871002448743,3695900
2019-08-22,173.87939453125,176.04215096868845,172.45043808588198,175.67525097265323,6659900
2019-08-23,169.1869659423828,174.27522739932775,168.2311167832758,173.35799230689796,7051900
2019-08-26,171.465576171875,171.54281903656033,169.30283489096573,170.32627706604887,7754400
2019-08-27,172.2283172607422,173.0103809039939,170.83797534715333,172.170388803104,4022100
2019-08-28,172.50833129882812,172.81730275497702,169.95937571587936,170.88627535175615,4401900
2019-08-29,174.9221649169922,175.1345791698967,173.12630833589193,174.17871503182633,4679200
2019-08-30,174.58421325683594,175.89729788810482,173.47386354176498,175.71386264055155,4061200
2019-09-03,173.02011108398438,174.99941779033486,172.9235685206105,174.29459667414855,4644000
2019-09-04,175.50143432617188,175.91659815725285,173.84074953670742,174.66142736532223,4154800
2019-09-05,178.35935974121094,179.27659490260018,177.055924953733,177.39384594341777,6386800
2019-09-06,179.3345184326172,180.27106789234168,178.18555478207458,178.36900474074204,7990900
2019-09-09,175.2890167236328,180.59934212035083,173.31936050806547,180.47382062382417,7290500
2019-09-10,170.2683868408203,173.50284965523207,167.81597321713218,173.2228570988637,15255200
2019-09-11,168.94557189941406,171.79383417905396,168.4338508509479,171.2821131305878,9113600
2019-09-12,171.8421173095703,173.22280950613734,170.5869466033919,170.75109689047056,7748800
2019-09-13,171.15663146972656,172.60490213603734,169.94973924780092,172.48903046458415,6103200
2019-09-16,170.03663635253906,171.08904286147762,169.45732217799357,170.09456482347932,4253600
2019-09-17,170.36489868164062,172.1124762164495,169.0035207548024,170.73179862201224,5924700
2019-09-18,169.244873046875,171.06969316788204,166.86971783290062,170.98280047939798,9542500
2019-09-19,169.89181518554688,171.2918072527838,169.55387946161284,170.12352906932205,6964500
2019-09-20,168.05731201171875,171.50420298716176,167.95110491557588,171.28212422904588,12820400
2019-09-23,168.87802124023438,169.20629239436923,166.83112197885583,166.93732908549612,8803500
2019-09-24,168.46286010742188,171.0890590778234,167.4201033339472,170.03665246913454,10039900
